snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260402,2026-04-02 01:42:35 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-02T05:42:34Z,h2h,2026-04-02T05:42:34Z,-305,245,
20260402,2026-04-02 01:42:35 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-02T05:42:32Z,h2h,2026-04-02T05:42:32Z,-350,265,
20260402,2026-04-02 01:42:35 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-02T05:41:58Z,h2h,2026-04-02T05:41:58Z,-325,260,
20260402,2026-04-02 01:42:35 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-02T05:41:58Z,h2h,2026-04-02T05:41:58Z,-345,235,
20260402,2026-04-02 01:42:35 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-02T05:42:34Z,h2h,2026-04-02T05:42:34Z,114,-135,
20260402,2026-04-02 01:42:35 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-02T05:42:32Z,h2h,2026-04-02T05:42:32Z,112,-140,
20260402,2026-04-02 01:42:35 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-02T05:41:58Z,h2h,2026-04-02T05:41:58Z,104,-137,
20260402,2026-04-02 01:42:35 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-02T05:41:58Z,h2h,2026-04-02T05:41:58Z,120,-145,
20260402,2026-04-02 03:16:45 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-02T07:15:52Z,h2h,2026-04-02T07:15:52Z,-305,245,
20260402,2026-04-02 03:16:45 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-02T07:16:04Z,h2h,2026-04-02T07:16:04Z,-350,265,
20260402,2026-04-02 03:16:45 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-02T07:16:15Z,h2h,2026-04-02T07:16:15Z,-325,260,
20260402,2026-04-02 03:16:45 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-02T07:16:15Z,h2h,2026-04-02T07:16:15Z,-345,235,
20260402,2026-04-02 03:16:45 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-02T07:15:52Z,h2h,2026-04-02T07:15:52Z,114,-135,
20260402,2026-04-02 03:16:45 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-02T07:16:04Z,h2h,2026-04-02T07:16:04Z,112,-140,
20260402,2026-04-02 03:16:45 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-02T07:16:15Z,h2h,2026-04-02T07:16:15Z,104,-137,
20260402,2026-04-02 03:16:45 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-02T07:16:15Z,h2h,2026-04-02T07:16:15Z,120,-145,
20260402,2026-04-02 05:00:54 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-02T09:00:47Z,h2h,2026-04-02T09:00:47Z,-305,245,
20260402,2026-04-02 05:00:54 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-02T09:00:12Z,h2h,2026-04-02T09:00:12Z,-350,265,
20260402,2026-04-02 05:00:54 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-02T09:00:00Z,h2h,2026-04-02T09:00:00Z,-325,260,
20260402,2026-04-02 05:00:54 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-02T09:00:48Z,h2h,2026-04-02T09:00:47Z,-345,235,
20260402,2026-04-02 05:00:54 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-02T09:00:47Z,h2h,2026-04-02T09:00:47Z,114,-135,
20260402,2026-04-02 05:00:54 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-02T09:00:12Z,h2h,2026-04-02T09:00:12Z,112,-140,
20260402,2026-04-02 05:00:54 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-02T09:00:48Z,h2h,2026-04-02T09:00:48Z,104,-137,
20260402,2026-04-02 05:00:54 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-02T09:00:00Z,h2h,2026-04-02T09:00:00Z,120,-145,
20260402,2026-04-02 06:53:08 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-02T10:51:51Z,h2h,2026-04-02T10:51:51Z,-305,245,
20260402,2026-04-02 06:53:08 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-04-02T10:53:02Z,h2h,2026-04-02T10:53:02Z,-350,265,
20260402,2026-04-02 06:53:08 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-04-02T10:52:02Z,h2h,2026-04-02T10:52:02Z,-325,260,
20260402,2026-04-02 06:53:08 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-04-02T10:52:50Z,h2h,2026-04-02T10:52:50Z,-345,235,
20260402,2026-04-02 06:53:08 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-04-02T10:51:51Z,h2h,2026-04-02T10:51:51Z,114,-135,
20260402,2026-04-02 06:53:08 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-04-02T10:53:02Z,h2h,2026-04-02T10:53:02Z,112,-140,
20260402,2026-04-02 06:53:08 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-04-02T10:52:50Z,h2h,2026-04-02T10:52:50Z,104,-137,
20260402,2026-04-02 06:53:08 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-04-02T10:52:02Z,h2h,2026-04-02T10:52:02Z,120,-145,
20260402,2026-04-02 09:19:41 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-04-02T13:19:01Z,h2h,2026-04-02T13:19:01Z,-305,245,
